filename,label
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_ecfc88e0-c886-4d98-9c8d-85607133e922___FREC_Pwd.M 5027.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e567184a-cee1-4eb4-be59-429da00b17d8___FREC_Pwd.M 4465.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_62f18804-329f-41b0-bb05-3cf72f6ac5f6___FREC_Pwd.M 4838.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_21b85757-b8ee-4165-9380-ebeade7f3ab7___FREC_Pwd.M 4978.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_1c0ef846-0a17-4c88-b0c2-11eea5a40378___FREC_Pwd.M 0525.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_3060a921-5f6b-4d36-b208-4a68bccbb5de___FREC_Pwd.M 4729.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_65ab8993-f636-4bad-9771-2f07cd178cb9___FREC_Pwd.M 0390.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_933c196b-f28c-4cd9-8620-ef97762ff394___FREC_Pwd.M 4772.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e85d24e4-9a7b-42cb-95fe-d76ca9d86180___FREC_Pwd.M 4930.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_aab15e82-2539-4798-a755-be6442a96f83___FREC_Pwd.M 0529.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e00332a5-dd41-4381-9ed4-1f3d8b9a9ed9___FREC_Pwd.M 4555.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_59ba7560-f218-44c0-bf46-2019757ec591___FREC_Pwd.M 4923.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_7ce9d6bf-c6c3-4be4-a5f1-b6f133691f4a___FREC_Pwd.M 4572.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_886e024a-ae28-4692-96dd-f8c7a5c38c19___FREC_Pwd.M 4759.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_44eb6a50-0475-4a84-9663-41b23e253535___FREC_Pwd.M 4687.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e816bd35-a4f4-41f9-b761-8803ff323652___FREC_Pwd.M 0559.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_24b87765-3573-429f-a05f-0c969276b18f___FREC_Pwd.M 0405.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_25d7583a-4dee-4848-abb9-43029421ec3d___FREC_Pwd.M 4951.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e3d4af8b-baa3-48bd-86ad-6d98e821c4e0___FREC_Pwd.M 4983.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_c4318f33-d75f-421e-a2f8-68afdcc678b9___FREC_Pwd.M 0394.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_5666b4ed-32ac-4db9-a07c-230fb75b7413___FREC_Pwd.M 0524.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_30e77fa2-3d3d-4ae4-aa44-f8f877f420af___FREC_Pwd.M 0592.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_55aba0f4-a57d-49ed-b2d4-4e5c783dc25d___FREC_Pwd.M 0393.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e99f1af6-d930-42f0-abe0-93e442fa6359___FREC_Pwd.M 4830.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_9d9c0c1a-fd2b-4563-b5c6-e393e4fd8b09___FREC_Pwd.M 4803.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e794c6d4-20ea-4643-87dc-34f87db6cafd___FREC_Pwd.M 4967.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_356ef788-2518-4519-8df0-c92c41cb8249___FREC_Pwd.M 5104.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_6c194f25-d1cb-48b1-908e-e6a66a0f6ed2___FREC_Pwd.M 5008.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_8cee5b79-cc5f-4be4-8900-588ec384b4b3___FREC_Pwd.M 4771.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_de8ef18c-2d11-47e0-8fa1-85f5f0177277___FREC_Pwd.M 0473.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_7891f5ee-6f1f-4957-a91c-4ad97b4eb725___FREC_Pwd.M 4720.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_9a969b7c-484b-45c8-9d25-f240903511a4___FREC_Pwd.M 4786.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_5be6f819-7f95-4078-bc8a-320b79dd5bee___FREC_Pwd.M 4706.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_e1c64177-d299-42a7-9d72-7ec29a326460___FREC_Pwd.M 4834.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_485a5bc3-01f2-4fe1-a99d-46315e428e29___FREC_Pwd.M 4462.JPG,6
/home/Jhin0324/Jhin/FinalPlantVilliageDataset/6/00000_4b402153-97b6-4d4b-bb3e-b287349d7d41___FREC_Pwd.M 5025.JPG,6
